,Sex,Education,Marital Status,Age,Credit Limit,Payment Score,Avg Outstanding,Avg Paid,PaySep,PayAug,PayJul,PayJun,PayMay,PayApr,Outstanding/Sept05,Outstanding/Aug05,Outstanding/Jul05,Outstanding/Jun05,Outstanding/May05,Outstanding/Apr05,Paid/Sept05,Paid/Aug05,Paid/Jul05,Paid/Jun05,Paid/May05,Paid/Apr05
608,M,BSc,Married,43,260000,1.0,150756.16666666666,9673.0,1,1,1,1,1,1,175247,164173,152724,153527,153375,105491,8500,5950,4000,3000,6000,30588
609,M,MSc or PHd,Married,43,120000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
610,F,High School Diploma,Married,36,30000,1.0,9597.5,697.0,1,1,1,1,1,1,7963,9152,10282,10180,10394,9614,1321,1451,349,362,343,356
611,F,BSc,Single,22,30000,1.3333333333333333,26680.666666666668,966.6666666666666,1,1,1,3,1,1,27444,29000,29886,28392,22612,22750,2000,1800,0,1000,1000,0
612,M,BSc,Married,31,200000,5.5,224997.33333333334,571.3333333333334,8,7,6,5,4,3,254266,240966,228663,217600,208432,200057,0,328,0,0,600,2500
613,F,BSc,Single,24,80000,1.0,93883.83333333333,3447.1666666666665,1,1,1,1,1,1,81908,83597,157646,79061,79834,81257,5501,3450,3000,3059,2915,2758
614,F,MSc or PHd,Single,25,50000,3.1666666666666665,44498.5,1233.3333333333333,3,4,3,3,3,3,43870,42891,43582,44561,45592,46495,0,1700,2000,1900,1800,0
615,F,BSc,Married,39,180000,2.6666666666666665,166936.5,5045.833333333333,3,3,3,3,3,1,177113,180628,176137,183007,179505,105229,7800,0,11700,0,3775,7000
616,F,BSc,Married,39,260000,1.6666666666666667,214257.16666666666,9471.833333333334,3,1,1,3,1,1,228443,233958,252615,186443,190345,193739,10698,24799,0,7035,7078,7221
617,F,BSc,Married,34,180000,-0.3333333333333333,1433.3333333333333,100.0,0,0,-1,-1,0,0,8000,0,0,0,600,0,0,0,0,600,0,0
618,F,MSc or PHd,Single,27,100000,1.5,48669.166666666664,1622.8333333333333,2,3,1,1,1,1,53213,50842,48205,47324,45723,46708,6,2031,1800,2000,1900,2000
619,F,High School Diploma,Single,27,80000,-1.0,1180.3333333333333,1041.0,-1,-1,-1,-1,-1,-1,1672,0,1672,836,0,2902,0,1672,836,0,2902,836
620,M,MSc or PHd,Other,25,50000,1.0,3312.3333333333335,2442.0,2,0,3,0,1,0,6300,3395,3180,1831,1868,3300,9195,0,1831,37,3300,289
621,F,BSc,Married,50,50000,0.5,22743.166666666668,3557.6666666666665,1,1,1,0,0,0,48119,48318,21750,4387,4392,9493,1554,1028,4387,4392,9493,492
622,F,MSc or PHd,Married,33,150000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
623,M,MSc or PHd,Single,23,50000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
624,M,BSc,Single,28,140000,3.1666666666666665,78306.33333333333,1857.8333333333333,2,4,5,4,3,1,82265,86127,84107,82362,74000,60977,5747,0,0,0,2600,2800
625,M,BSc,Married,46,50000,0.3333333333333333,19738.833333333332,833.3333333333334,1,1,1,1,-1,-1,48677,39756,30000,0,0,0,2000,3000,0,0,0,0
626,F,BSc,Single,24,50000,1.0,41855.166666666664,1666.8333333333333,1,1,1,1,1,1,39083,40150,41181,41996,43021,45700,1700,1700,1501,1700,3400,0
627,F,MSc or PHd,Single,24,50000,3.5,39511.666666666664,1400.0,5,4,3,3,3,3,38965,38063,38838,39598,40313,41293,0,1700,1700,1500,1800,1700
628,F,High School Diploma,Married,60,30000,2.1666666666666665,3719.3333333333335,300.1666666666667,0,4,3,1,1,4,5867,5621,4090,2829,2108,1801,0,0,0,1801,0,0
629,F,High School Diploma,Married,57,30000,0.0,362.3333333333333,366.1666666666667,0,0,0,0,0,0,347,1353,78,135,68,193,1353,78,135,68,423,140
630,F,BSc,Married,31,200000,0.0,2038.0,1838.1666666666667,0,0,0,0,0,0,1319,4997,3635,130,1209,938,4997,3650,130,1209,938,105
631,F,BSc,Married,29,40000,0.0,4377.833333333333,1513.3333333333333,0,1,1,-1,-1,0,8801,9544,0,0,0,7922,1000,0,0,0,7922,158
632,F,BSc,Single,24,80000,1.3333333333333333,9184.5,635.5,1,1,1,1,1,3,9933,11111,9998,8950,9415,5700,1370,1233,261,549,400,0
633,M,MSc or PHd,Married,27,50000,2.3333333333333335,46383.5,2216.6666666666665,3,3,3,3,1,1,43333,46308,47250,46192,46997,48221,4000,2000,0,1700,2000,3600
634,F,BSc,Married,39,30000,2.0,10447.666666666666,595.8333333333334,3,3,1,1,1,3,9884,9586,10318,10522,11354,11022,0,1200,375,1000,0,1000
635,F,BSc,Married,24,90000,3.0,85858.0,2663.3333333333335,3,3,3,3,3,3,86643,87249,86858,86373,85875,82150,3881,3000,2800,1500,2299,2500
636,F,BSc,Single,25,50000,3.0,17388.166666666668,958.3333333333334,3,3,3,3,3,3,15679,16228,17796,17213,18432,18981,1100,2150,0,1500,1000,0
637,M,MSc or PHd,Married,40,500000,-1.0,6114.166666666667,5243.833333333333,-1,-1,-1,-1,-1,-1,5255,721,17252,7388,6069,0,721,17252,7421,6069,0,0
638,F,MSc or PHd,Single,25,70000,1.3333333333333333,10337.166666666666,2000.0,3,1,1,1,1,1,5730,7625,9484,11317,13125,14742,2000,2000,2000,2000,2000,2000
639,F,MSc or PHd,Single,35,220000,0.0,3786.8333333333335,2404.8333333333335,0,0,0,0,0,0,8304,11526,1270,0,1121,500,11526,1282,0,1121,500,0
640,M,MSc or PHd,Married,43,200000,1.5,150340.0,4894.0,2,3,1,1,1,1,203393,198272,120005,121023,128387,130960,0,5812,4500,9352,4700,5000
641,M,MSc or PHd,Single,37,20000,1.0,42560.5,1233.6666666666667,1,1,1,1,1,1,66599,67259,69521,16970,17326,17688,2317,2579,606,628,649,623
642,F,BSc,Single,33,30000,1.0,26441.166666666668,1112.5,1,1,1,1,1,1,25498,26149,26716,26918,27089,26277,1451,1408,1000,964,1136,716
643,F,High School Diploma,Married,36,60000,1.8333333333333333,49241.166666666664,1580.0,2,3,3,1,1,1,47987,48716,47632,48738,49601,52773,1788,0,1894,1801,3997,0
644,M,BSc,Married,38,500000,0.5,170829.83333333334,7798.0,1,1,1,0,0,0,499231,511629,-311,6391,420,7619,22600,501,6892,421,7695,8679
645,M,BSc,Single,35,100000,1.5,33528.666666666664,11394.166666666666,0,3,3,0,0,3,8102,10252,5607,59265,62554,55392,2500,0,59265,4100,2500,0
646,F,MSc or PHd,Single,29,50000,0.16666666666666666,3677.5,2834.5,0,0,0,1,0,0,2459,2471,6015,5625,3056,2439,2471,6015,0,3056,2439,3026
647,F,BSc,Single,23,120000,1.0,66638.66666666667,2201.0,1,1,1,1,1,1,100727,96551,69676,44879,43532,44467,4324,3234,1448,1400,1400,1400
648,M,BSc,Single,26,130000,1.6666666666666667,18902.333333333332,1483.3333333333333,1,1,1,3,3,1,16435,17166,19478,19862,19403,21070,1300,2600,1000,0,2000,2000
649,F,BSc,Married,34,30000,3.0,26915.833333333332,1531.8333333333333,3,3,3,3,3,3,24014,25891,27385,27834,28241,28130,2274,2217,1200,1000,500,2000
650,M,MSc or PHd,Single,34,160000,0.0,436.6666666666667,375.0,0,0,0,0,0,0,390,390,390,520,540,390,390,390,520,560,390,0
651,F,BSc,Married,35,20000,0.8333333333333334,-2828.0,0.0,2,3,3,-1,-1,-1,22382,20650,-15000,-15000,-15000,-15000,0,0,0,0,0,0
652,F,BSc,Single,30,290000,0.8333333333333334,237642.83333333334,46454.333333333336,1,1,1,0,1,1,288994,296230,158127,234456,236813,211237,12549,7003,234456,9500,7592,7626
653,F,MSc or PHd,Single,28,90000,2.3333333333333335,89251.5,3950.6666666666665,1,1,3,3,3,3,87916,87459,88183,91204,89687,91060,5800,5400,5804,0,6700,0
654,F,BSc,Single,27,100000,1.5,54462.5,1439.6666666666667,4,3,1,1,0,0,104489,101123,101600,17046,1075,1442,0,4384,341,1075,1442,1396
655,F,MSc or PHd,Single,22,50000,1.0,29547.166666666668,2085.5,1,1,1,1,1,1,41940,41811,35920,19987,18971,18654,1748,1253,2504,1004,1509,4495
656,M,MSc or PHd,Single,32,100000,0.5,857.8333333333334,721.0,0,0,0,0,3,0,671,671,671,1642,821,671,671,671,1642,0,671,671
657,M,BSc,Married,47,120000,0.3333333333333333,1882.1666666666667,2168.6666666666665,0,0,0,1,1,0,2486,151,2853,2896,1149,1758,260,5753,1153,3,1759,4084
658,M,High School Diploma,Single,32,110000,-0.3333333333333333,5703.833333333333,37.166666666666664,1,0,0,-1,-1,-1,34000,223,0,0,0,0,223,0,0,0,0,0
659,M,BSc,Married,56,60000,1.0,31953.666666666668,1885.8333333333333,1,1,1,1,1,1,28842,30371,31556,32345,33663,34945,2000,2000,1315,2000,2000,2000
660,F,High School Diploma,Married,52,50000,2.1666666666666665,31884.5,1206.8333333333333,2,3,1,1,3,3,30505,29731,31062,33231,33736,33042,0,1831,3000,1182,0,1228
661,F,MSc or PHd,Married,33,100000,-0.6666666666666666,662.6666666666666,67.0,0,0,-1,-1,-1,-1,3976,0,0,0,0,0,0,0,0,0,0,402
662,M,BSc,Married,38,240000,0.8333333333333334,2210.5,832.8333333333334,3,0,0,1,1,0,6848,836,2508,1672,836,563,836,2508,0,0,563,1090
663,F,BSc,Married,32,80000,0.0,3817.5,11343.0,0,0,0,0,0,0,199,199,199,199,0,22109,199,199,199,0,22109,45352
664,F,BSc,Married,27,210000,1.6666666666666667,141636.83333333334,3958.3333333333335,3,3,1,1,1,1,174134,167095,161573,122362,116243,108414,16,6800,3800,5134,4000,4000
665,F,BSc,Married,38,50000,1.3333333333333333,22839.833333333332,1166.6666666666667,1,1,3,1,1,1,20838,23204,22538,22864,23495,24100,3000,0,1000,1000,1000,1000
666,M,High School Diploma,Married,44,30000,2.1666666666666665,3480.5,0.0,5,4,3,3,-1,-1,7221,6962,6700,0,0,0,0,0,0,0,0,0
667,M,MSc or PHd,Married,41,50000,1.3333333333333333,41767.666666666664,1733.6666666666667,3,1,1,1,1,1,39159,40194,41209,42125,43443,44476,1669,1684,1600,2000,1753,1696
668,M,High School Diploma,Single,25,30000,2.3333333333333335,24132.666666666668,1073.0,3,3,3,1,1,3,22440,24168,23481,23950,25659,25098,2390,0,859,2097,0,1092
669,M,MSc or PHd,Married,38,350000,-0.16666666666666666,18464.0,11219.333333333334,-1,-1,0,1,1,-1,16459,4120,44164,35233,884,9924,941,44743,0,884,9924,10824
670,M,High School Diploma,Single,36,30000,0.0,10054.5,294.6666666666667,1,1,1,-1,-1,-1,30328,29999,0,0,0,0,1768,0,0,0,0,0
671,F,High School Diploma,Single,59,140000,1.3333333333333333,64409.666666666664,2500.0,3,1,1,1,1,1,62042,63445,63729,63751,65421,68070,3000,2000,2000,2000,3000,3000
672,M,High School Diploma,Married,44,30000,2.0,22369.0,2033.3333333333333,3,3,3,1,1,1,18659,22544,21889,22721,23401,25000,4500,0,1500,1200,2000,3000
673,F,High School Diploma,Married,36,100000,3.0,57795.166666666664,2883.3333333333335,3,3,3,3,3,3,53530,55081,55581,59253,61145,62181,3000,2000,4600,3000,2200,2500
674,F,High School Diploma,Married,36,100000,1.6666666666666667,116858.16666666667,9173.5,1,1,3,1,1,3,101972,115335,112016,112906,120101,138819,16608,0,4233,9200,21000,4000
675,M,MSc or PHd,Married,31,350000,1.3333333333333333,22244.333333333332,3500.0,1,1,1,3,1,1,18685,21057,23291,22812,27418,20203,3000,3000,0,5000,5000,5000
676,M,MSc or PHd,Married,38,60000,2.0,33080.666666666664,1633.3333333333333,3,1,1,1,3,3,30013,31226,32396,34657,35456,34736,2000,2000,2800,1500,0,1500
677,F,MSc or PHd,Married,40,70000,2.3333333333333335,45744.166666666664,1851.1666666666667,3,1,1,3,3,3,45251,42685,45674,44639,47624,48592,1800,3700,0,3707,1900,0
678,M,MSc or PHd,Married,60,350000,0.16666666666666666,1155.3333333333333,1155.3333333333333,2,0,0,0,-1,0,0,1150,4576,0,0,1206,1150,4576,0,0,1206,0
679,F,High School Diploma,Married,45,150000,1.0,138372.83333333334,5067.333333333333,1,1,1,1,1,1,141415,144592,147635,129507,132219,134869,5457,5661,4636,4800,4850,5000
680,M,MSc or PHd,Single,25,70000,2.1666666666666665,4480.0,537.3333333333334,0,3,3,3,3,1,3635,4529,4308,4859,4638,4911,1100,0,624,0,500,1000
681,F,MSc or PHd,Married,33,310000,-1.0,168.16666666666666,149.0,-1,-1,-1,-1,-1,-1,115,894,0,0,0,0,894,0,0,0,0,0
682,F,MSc or PHd,Single,28,180000,1.3333333333333333,93995.16666666667,3968.3333333333335,1,1,1,3,1,1,99307,104403,110366,101550,98615,49730,6700,10605,0,4751,1754,0
683,M,MSc or PHd,Single,30,360000,0.0,239.66666666666666,16193.833333333334,0,0,0,0,0,0,312,312,312,312,251,-61,313,313,313,252,1,95971
684,M,High School Diploma,Single,22,50000,0.8333333333333334,16620.0,1021.0,1,1,0,1,1,1,48423,44450,956,976,1976,2939,2150,956,20,1000,1000,1000
685,M,BSc,Married,48,240000,0.0,6310.0,8439.166666666666,1,0,0,-1,0,0,3972,783,0,0,3853,29252,783,0,0,3853,29252,16747
686,F,MSc or PHd,Married,44,150000,-0.5,535.0,227.83333333333334,0,0,0,-1,-1,-1,1843,1367,0,0,0,0,1367,0,0,0,0,0
687,F,High School Diploma,Married,41,400000,1.0,15743.0,4326.833333333333,1,1,1,1,1,1,18487,12366,13010,12620,17945,20030,2620,1000,0,13945,7116,1280
688,F,MSc or PHd,Single,29,260000,0.5,13582.666666666666,14166.333333333334,2,0,1,0,0,0,15502,16832,16832,16332,16332,-334,18000,16666,16666,16666,0,17000
689,M,BSc,Married,54,80000,0.8333333333333334,79350.0,12701.0,1,1,1,1,1,0,105365,108702,108486,94119,18809,40619,5030,2698,2172,376,40619,25311
690,F,BSc,Married,37,210000,-0.3333333333333333,12621.166666666666,7348.666666666667,1,1,-1,-1,-1,-1,22908,32513,6192,2885,8419,2810,32513,9,8,8444,3118,0
691,F,BSc,Single,49,20000,2.1666666666666665,18537.666666666668,1500.0,2,3,3,3,1,1,18718,18132,19530,18950,16510,19386,0,3000,0,1000,3000,2000
692,F,BSc,Married,41,70000,3.0,52516.5,2133.3333333333335,3,3,3,3,3,3,50241,51145,50022,53390,54579,55722,2000,0,4200,2200,2200,2200
693,F,BSc,Single,21,50000,0.0,772.0,707.0,0,0,0,0,0,0,390,1499,780,797,1166,0,1499,780,797,1166,0,0
694,F,High School Diploma,Single,52,500000,-1.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
695,F,BSc,Single,26,20000,1.3333333333333333,15583.166666666666,716.6666666666666,3,1,1,1,1,1,19366,19297,20023,19625,15188,0,1800,1500,500,500,0,0
696,F,BSc,Married,28,70000,2.6666666666666665,31074.0,1233.3333333333333,2,4,3,3,3,1,29836,30856,30658,31850,31207,32037,1800,600,2000,0,1500,1500
697,F,MSc or PHd,Single,38,280000,0.16666666666666666,4043.1666666666665,4043.1666666666665,2,-1,0,0,0,0,0,0,3898,1460,18901,0,0,3898,1460,18901,0,0
698,F,MSc or PHd,Single,31,120000,0.5,1505.6666666666667,1140.6666666666667,2,0,0,1,0,0,0,1730,2457,2192,2655,0,1730,2459,0,2655,0,0
699,F,MSc or PHd,Single,23,20000,2.1666666666666665,11666.333333333334,800.0,2,3,3,3,1,1,10407,10096,11926,11440,12596,13533,0,2000,0,1500,1300,0
700,M,BSc,Married,35,90000,1.0,67031.33333333333,2590.0,1,1,1,1,1,1,90467,88834,89791,53096,52340,27660,4000,5000,3100,1700,1421,319
701,M,MSc or PHd,Single,24,10000,1.6666666666666667,9033.166666666666,1116.6666666666667,3,1,1,1,1,3,7554,8287,9580,9267,10096,9415,1500,2000,700,1500,0,1000
702,M,MSc or PHd,Single,28,30000,1.5,1287.1666666666667,371.6666666666667,0,3,3,1,1,1,1190,2107,1098,1098,1248,982,1098,0,0,982,150,0
703,M,MSc or PHd,Married,52,360000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
704,F,BSc,Single,23,70000,2.1666666666666665,18488.333333333332,833.3333333333334,2,3,1,1,3,3,17461,16892,18013,19315,19859,19390,0,1400,1600,1000,0,1000
705,F,MSc or PHd,Single,38,20000,2.0,5078.333333333333,656.8333333333334,0,1,1,4,3,3,3527,4556,5867,5495,5126,5899,1241,1700,0,0,1000,0
706,M,BSc,Single,34,180000,-0.5,101685.83333333333,3651.5,2,-1,-1,-1,-1,-1,149172,100466,98458,89384,88315,84320,4600,4207,3500,4000,5000,602
707,F,BSc,Married,26,60000,1.3333333333333333,59658.333333333336,2794.8333333333335,1,1,3,1,1,1,60597,61332,58787,58472,57777,60985,5504,0,2304,2261,4600,2100
708,M,MSc or PHd,Married,30,20000,2.5,9034.333333333334,875.3333333333334,2,3,3,3,3,1,6885,8627,8340,10044,9739,10571,2000,0,1855,0,1000,397
709,M,MSc or PHd,Single,34,200000,0.3333333333333333,-842.6666666666666,500.0,2,-1,0,1,1,-1,-1730,-1730,1111,1111,-29,-3789,0,3000,0,0,0,0
710,F,MSc or PHd,Single,25,20000,3.0,16946.166666666668,2550.0,3,3,3,3,3,3,9317,18576,18219,17095,19748,18722,10000,800,0,3500,0,1000
711,F,BSc,Single,28,30000,-0.3333333333333333,753.6666666666666,463.1666666666667,0,0,-1,0,0,-1,1743,0,0,2779,0,0,0,0,2779,0,0,0
712,F,BSc,Married,48,220000,1.0,32480.166666666668,2489.0,1,1,1,1,1,1,28132,30362,31387,32559,35019,37422,2700,1534,1700,3000,3000,3000
713,F,High School Diploma,Married,50,400000,0.3333333333333333,2351.0,1431.1666666666667,3,0,0,0,0,-1,5523,8033,0,550,0,0,8037,0,550,0,0,0
714,M,High School Diploma,Married,40,200000,2.3333333333333335,99743.66666666667,4766.666666666667,3,1,1,3,3,3,91368,92989,99704,101169,103401,109831,4000,8300,4000,4000,8300,0
715,F,BSc,Married,56,240000,0.3333333333333333,416.6666666666667,0.0,3,3,-1,-1,-1,-1,2500,0,0,0,0,0,0,0,0,0,0,0
716,F,MSc or PHd,Single,22,30000,1.0,21135.166666666668,2975.3333333333335,0,0,3,1,1,1,14885,16579,17498,25032,25626,27191,1939,1500,8213,1000,2000,3200
717,F,BSc,Single,28,120000,2.3333333333333335,114067.16666666667,3382.3333333333335,3,3,3,3,1,1,111840,114252,115306,112404,114269,116332,5300,3600,0,3400,3500,4494
718,M,High School Diploma,Married,47,50000,1.8333333333333333,3245.8333333333335,491.0,2,4,3,1,1,0,4759,4540,4284,2946,1473,1473,0,0,0,0,1473,1473
719,F,BSc,Single,24,80000,3.3333333333333335,79394.16666666667,2950.0,3,3,4,3,4,3,75444,80025,78129,82581,81053,79133,6400,0,6300,0,0,5000
720,M,BSc,Married,65,360000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
721,M,BSc,Married,62,20000,1.3333333333333333,14514.333333333334,689.6666666666666,3,1,1,1,1,1,17870,18740,19343,19402,11731,0,1462,1367,682,627,0,0
722,F,BSc,Single,39,400000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
723,F,BSc,Single,29,320000,2.3333333333333335,98379.5,3625.1666666666665,2,3,1,1,4,3,93070,90725,92697,106221,104313,103251,0,3500,15100,11,3129,11
724,M,High School Diploma,Single,59,20000,3.3333333333333335,16302.833333333334,853.5,2,3,3,5,4,3,19074,18482,20329,19616,19303,1013,0,2300,0,0,0,2821
725,F,MSc or PHd,Single,33,130000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
726,F,MSc or PHd,Married,30,30000,3.1666666666666665,13397.333333333334,833.3333333333334,3,3,3,4,3,3,12109,12917,13909,13394,13036,15019,1300,1500,0,0,2200,0
727,F,BSc,Single,24,80000,-0.6666666666666666,391.0,0.0,0,0,-1,-1,-1,-1,2346,0,0,0,0,0,0,0,0,0,0,0
728,M,MSc or PHd,Single,31,120000,1.6666666666666667,31737.833333333332,3000.0,3,1,1,3,1,1,25719,29961,32451,31630,34115,36551,5000,3000,0,3000,3000,4000
729,F,BSc,Married,37,80000,2.0,64431.333333333336,13850.5,3,3,3,1,1,1,80508,81731,78772,76818,70319,-1560,3100,0,2000,3000,0,75003
730,F,BSc,Single,26,230000,2.0,1663.0,214.33333333333334,0,0,0,5,4,3,8328,0,600,600,300,150,0,600,0,0,0,686
731,M,BSc,Single,39,370000,1.3333333333333333,325391.8333333333,11822.833333333334,3,1,1,1,1,1,334394,337272,340152,345904,322168,272461,14005,12004,12362,12006,9555,11005
732,M,BSc,Single,23,20000,2.3333333333333335,17300.333333333332,730.0,2,4,3,3,1,1,17529,16967,17176,16605,17185,18340,0,780,0,1000,1600,1000
733,F,BSc,Single,29,220000,1.0,29745.833333333332,4689.333333333333,1,1,1,1,1,1,36106,33494,29518,29569,28587,21201,3000,3000,6000,5000,1136,10000
734,F,MSc or PHd,Married,31,110000,2.0,89635.5,3343.3333333333335,3,3,3,1,1,1,107507,108067,83164,79428,80235,79412,7960,0,3000,3000,3100,3000
735,M,BSc,Married,36,200000,0.16666666666666666,2565.5,1309.8333333333333,3,0,0,0,-1,-1,7300,3238,2655,2200,0,0,3238,2655,0,0,0,1966
736,F,MSc or PHd,Single,28,140000,1.0,141642.16666666666,5983.333333333333,1,1,1,1,1,1,138036,140922,144072,142381,142807,141635,6600,7000,5300,6000,5500,5500
737,F,MSc or PHd,Single,31,500000,-0.3333333333333333,26884.833333333332,22493.5,-1,-1,-1,0,1,0,17496,1001,15782,29251,20095,77684,2000,5000,37223,0,80583,10155
738,M,MSc or PHd,Married,59,500000,-1.0,1046.0,1421.0,-1,-1,-1,-1,-1,-1,0,0,994,3342,1240,700,0,994,3342,1240,700,2250
739,F,High School Diploma,Married,41,30000,1.0,35629.666666666664,1644.3333333333333,1,1,1,1,1,1,39230,37737,36619,34752,33229,32211,1618,2000,1500,1500,2000,1248
740,M,MSc or PHd,Single,31,80000,2.8333333333333335,21855.333333333332,916.6666666666666,2,3,3,3,3,3,21004,20384,22231,21576,23229,22708,0,2500,0,2000,0,1000
741,M,MSc or PHd,Married,49,550000,-0.16666666666666666,10541.666666666666,7352.166666666667,0,0,0,0,0,-1,42141,1515,1488,18334,-114,-114,1522,1495,18426,0,0,22670
742,F,BSc,Married,27,300000,1.0,328152.8333333333,12007.0,1,1,1,1,1,1,286321,283547,578971,293063,296677,230338,20000,12003,10524,11238,8814,9463
743,F,High School Diploma,Married,29,30000,2.6666666666666665,29636.0,1528.3333333333333,3,3,3,3,3,1,26836,28894,30571,31011,30389,30115,2500,2670,2000,0,1000,1000
744,F,BSc,Single,25,50000,-0.5,0.0,1283.3333333333333,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,7700
745,F,BSc,Married,33,250000,0.3333333333333333,416.6666666666667,0.0,3,3,-1,-1,-1,-1,2500,0,0,0,0,0,0,0,0,0,0,0
746,M,BSc,Married,44,30000,3.0,22991.0,748.3333333333334,2,4,3,3,3,3,23171,22523,21863,23296,22783,24310,0,0,1800,0,1910,780
747,F,High School Diploma,Married,27,50000,1.3333333333333333,36532.5,1208.5,1,1,1,3,1,1,37651,38498,40644,39731,35657,27014,1754,2900,0,1265,832,500
748,F,BSc,Married,28,130000,1.3333333333333333,84261.83333333333,4083.3333333333335,1,1,1,1,1,3,107216,91888,83975,76842,78093,67557,4000,4000,8000,6000,0,2500
749,M,BSc,Married,37,420000,1.0,402181.8333333333,15268.666666666666,1,1,1,1,1,1,415257,411624,388363,390003,398229,409615,16850,15522,14000,14500,18007,12733
750,M,BSc,Married,28,140000,0.5,5392.333333333333,4240.0,0,0,0,3,0,0,6007,7332,7983,3277,2964,4791,7340,7983,0,2964,4800,2353
751,F,MSc or PHd,Married,37,500000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
752,F,BSc,Married,48,90000,0.0,316.0,316.0,0,0,0,0,0,0,316,316,316,316,316,316,316,316,316,316,316,316
753,M,BSc,Single,36,30000,1.0,33288.666666666664,2178.5,1,1,1,1,1,1,36124,35538,34359,32450,30633,30628,2500,2215,1156,1200,3000,3000
754,F,BSc,Married,36,110000,2.1666666666666665,12986.333333333334,2500.0,2,3,1,1,3,3,10448,10144,14516,19396,9298,14116,0,5000,5000,0,5000,0
755,F,BSc,Married,37,200000,-0.16666666666666666,5817.666666666667,5754.333333333333,0,0,0,0,0,-1,390,31638,770,2108,0,0,31638,770,2118,0,0,0
756,M,BSc,Single,44,20000,1.5,7963.166666666667,916.6666666666666,2,3,1,1,1,1,6535,6285,7672,8390,9101,9796,0,1500,1000,1000,1000,1000
757,F,BSc,Married,45,40000,1.5,11981.666666666666,533.3333333333334,2,3,1,1,1,1,11402,10928,11940,12241,12544,12835,0,1200,500,500,500,500
758,M,High School Diploma,Single,22,50000,0.6666666666666666,3085.6666666666665,822.5,1,1,1,1,0,0,6673,5054,2340,1990,1377,1080,1056,1000,40,1377,1080,382
759,F,BSc,Married,40,710000,0.16666666666666666,2614.0,2334.0,-1,-1,-1,0,3,1,5200,0,0,1004,854,8626,0,0,1004,0,8000,5000
760,M,BSc,Single,26,10000,1.0,6388.0,833.3333333333334,1,1,1,1,1,1,7606,7030,8454,9454,5784,0,2000,2000,1000,0,0,0
761,M,MSc or PHd,Single,33,150000,2.1666666666666665,89716.16666666667,2950.0,2,3,3,3,1,1,88590,85800,91242,88399,89629,94637,0,7400,0,3300,7000,0
762,F,High School Diploma,Married,43,60000,1.0,45348.166666666664,1605.8333333333333,1,1,1,1,1,1,60283,61227,60385,30368,29667,30159,3000,1700,1135,1100,1500,1200
763,F,BSc,Married,40,240000,0.6666666666666666,2952.0,2208.8333333333335,0,0,0,1,0,3,3571,2298,2632,904,5559,2748,2309,2637,2,5567,8,2730
764,M,MSc or PHd,Married,55,190000,0.0,2499.3333333333335,2499.3333333333335,0,0,0,0,0,0,390,390,390,390,6026,7410,390,390,390,6026,7410,390
765,F,BSc,Married,37,300000,0.0,217.83333333333334,551.1666666666666,2,-1,-1,0,0,0,0,0,0,363,0,944,0,0,363,0,944,2000
766,F,BSc,Single,33,200000,1.0,180103.16666666666,5856.166666666667,1,1,1,1,1,1,198878,195883,190282,164492,165076,166008,7700,7527,4900,5100,5300,4610
767,F,MSc or PHd,Single,26,150000,0.0,3505.8333333333335,9030.833333333334,0,0,0,0,0,0,1551,2961,4175,1707,4492,6149,2990,4175,1707,4492,6149,34672
768,M,BSc,Single,36,150000,-0.6666666666666666,897.0,0.0,0,0,-1,-1,-1,-1,5382,0,0,0,0,0,0,0,0,0,0,0
769,M,BSc,Married,46,280000,2.8333333333333335,196287.0,6692.333333333333,2,3,3,3,3,3,188894,194489,197722,192140,203913,200564,10101,8000,0,15000,0,7053
770,M,BSc,Single,30,230000,1.3333333333333333,47751.166666666664,4639.5,1,1,3,1,1,1,38651,45681,44652,48540,52477,56506,8000,0,4970,4907,4936,5024
771,M,MSc or PHd,Single,32,140000,0.6666666666666666,457.0,833.3333333333334,2,-1,0,1,1,1,-4,-680,1824,1508,300,-206,0,3000,0,0,0,2000
772,M,MSc or PHd,Married,28,40000,0.5,7927.5,1980.5,0,0,3,0,0,0,10371,11895,11228,2475,5341,6255,2567,0,2475,5341,1500,0
773,M,BSc,Single,40,50000,1.0,15442.833333333334,1225.5,1,1,1,1,1,1,14633,12921,13957,16703,17052,17391,1218,1254,3000,617,621,643
